Get Down to Business, 98,
Riff, E F# . ., H . . ., E . . ., H . . .,  E F# . .[wah-wah], H . . ., E . . ., H . . ., 
Vers, E F# _ _, E F# _ _,  E F# _ _, H . . ., E F# _ _, E F# _ _,  E F# _ _, H . . ., {here we are=time to burn=feel the fire=the slow return=got every reason=have no doubt=baby im all out}
brygga1, H . . ., H . . ., E F# _ _, E F# _ _, H . . ., H . . ., A . Ab ., c#-c c-h,{take all you can=and give what you got=tonights forever=at least for now=aim for the sky= its ..? in time=get high!}
ref1, E F# . ., H . . ., E . . ., H . . .,  E F# . ., H . . ., E . . ., H . . .,  {get down to business=I'll show you what it could be like=get down to business=you'll never let me out}
riff2, E F# _ _, E F# _ _,  E F# _ _, H _ _ _ [stop på H],
Vers2, E F# _ _, E F# _ _,  E F# _ _, H . . ., E F# _ _, E F# _ _,  E F# _ _, H . . ., {wanna do it all over=so tonights the game=Im here to ...?= Ill show you the way=here we are=time to burn=til' the fire=the slow return}
brygga2, H . . ., H . . ., E F# _ _, E F# _ _, H . . ., H . . ., A . Ab ., c#-c c-h,
ref2, E F# . ., H . . ., E . . ., H . . .,  E F# . ., H . . ., E . . ., H . . .,  
bas-bröt, F# . . ., F# . . .,  F# . . .,  F# . . ., 
solo, F# . . ., F# . . ., D . . ., D _ C# C#, F# . . ., F# . . ., D . . ., C#-C# _ E-E ., 
ref3, E F# . ., H . . ., E . . ., H . . .,  E F# . ., H . . ., E . . ., H . . ., E F# . ., H . . ., E . . ., H . . ., E F# . ., H . . ., E . . ., H . . .,  E F# _ _ [stop på F#],{get down to business=I'll show you what it could be like=get down to business=you'll never let me out}

 
